Insee - Statistiques locales; ; ; 
Référentiel géographique : France par commune; ; ; 
Code;Nom;Population municipale 2021;Médecin généraliste (en nombre) 2021
2310;Fieulaine;249;0
2311;Filain;119;0
2312;La Flamengrie;1093;0
2313;Flavigny-le-Grand-et-Beaurain;440;0
2315;Flavy-le-Martel;1661;4
2316;Fleury;125;0
2317;Fluquières;205;0
2318;Folembray;1370;0
2319;Fonsomme;503;0
2320;Fontaine-lès-Clercs;229;0
2321;Fontaine-lès-Vervins;876;0
2322;Fontaine-Notre-Dame;381;0
2323;Fontaine-Uterte;136;0
2324;Fontenelle;297;0
2326;Fontenoy;464;0
2327;Foreste;161;0
2328;Fossoy;513;0
2329;Fourdrain;424;0
2330;Francilly-Selency;562;0
2331;Franqueville;108;0
2332;Fresnes-en-Tardenois;274;0
2333;Fresnes-sous-Coucy;161;0
2334;Fresnoy-le-Grand;2934;3
2335;Fressancourt;175;0
2336;Frières-Faillouël;981;0
2337;Froidestrées;185;0
2338;Froidmont-Cohartille;248;0
2339;Gandelu;699;1
2340;Gauchy;5204;2
2341;Gercy;257;0
2342;Gergny;131;0
2343;Germaine;83;0
2345;Gibercourt;38;0
2346;Gizy;644;0
2347;Gland;432;0
2349;Goudelancourt-lès-Berrieux;59;0
2350;Goudelancourt-lès-Pierrepont;139;0
2351;Goussancourt;113;0
2352;Gouy;567;0
2353;Grandlup-et-Fay;275;0
2354;Grandrieux;79;0
2355;Gricourt;998;0
2356;Grisolles;233;0
2357;Gronard;66;0
2358;Grougis;315;0
2359;Grugies;1259;0
2360;Villeneuve-sur-Aisne;2784;3
2361;Guise;4533;9
2362;Guivry;239;0
2363;Guny;368;0
2364;Guyencourt;250;0
2366;Hannapes;327;0
2367;Happencourt;161;0
2368;Haramont;560;0
2369;Harcigny;243;0
2370;Hargicourt;571;0
2371;Harly;1557;0
2372;Hartennes-et-Taux;339;1
2373;Hary;189;0
2374;Lehaucourt;843;1
2375;Hautevesnes;161;0
2376;Hauteville;179;0
2377;Haution;132;0
2378;La Hérie;123;0
2379;Le Hérie-la-Viéville;195;0
2380;Hinacourt;27;0
2381;Hirson;8662;10
2382;Holnon;1356;0
2383;Homblières;1433;1
2384;Houry;58;0
2385;Housset;167;0
2386;Iron;221;0
2387;Itancourt;999;0
2388;Iviers;220;0
2389;Jaulgonne;665;4
2390;Jeancourt;255;0
2391;Jeantes;218;0
2392;Joncourt;319;0
2393;Jouaignes;138;0
2395;Jumencourt;132;0
2396;Jumigny;63;0
2397;Jussy;1219;1
2398;Juvigny;280;0
2399;Juvincourt-et-Damary;611;0
2400;Laffaux;152;0
2401;Laigny;187;0
2402;Lanchy;37;0
2403;Landifay-et-Bertaignemont;255;0
2404;Landouzy-la-Cour;175;0
2405;Landouzy-la-Ville;524;0
2406;Landricourt;130;0
2407;Laniscourt;210;0
2408;Laon;24021;23
2409;Lappion;277;0
2410;Largny-sur-Automne;241;0
2411;Latilly;199;0
2412;Launoy;99;0
2413;Laval-en-Laonnois;244;0
2414;Lavaqueresse;200;0
2415;Laversine;157;0
2416;Lemé;415;0
2417;Lempire;123;0
2418;Lerzy;224;0
2419;Leschelle;268;0
2420;Lesdins;827;0
2421;Lesges;91;0
2422;Lesquielles-Saint-Germain;797;0
2423;Leuilly-sous-Coucy;436;0
2424;Leury;102;0
2425;Leuze;180;0
2426;Levergies;541;0
2427;Lhuys;139;0
2428;Licy-Clignon;74;0
2429;Lierval;124;0
2430;Liesse-Notre-Dame;1268;1
2431;Liez;381;0
2432;Limé;191;0
2433;Lislet;221;0
2435;Logny-lès-Aubenton;83;0
2438;Longpont;242;0
2439;Les Septvallons;1215;0
2440;Lor;137;0
2441;Louâtre;176;0
2442;Loupeigne;89;0
2443;Lucy-le-Bocage;209;0
2444;Lugny;127;0
2445;Luzoir;272;0
2446;Ly-Fontaine;118;0
2447;Maast-et-Violaine;140;0
2448;Mâchecourt;113;0
2449;Macogny;63;0
2450;Macquigny;358;0
2451;Magny-la-Fosse;122;0
2452;Maissemy;234;0
2453;Maizy;403;0
2454;La Malmaison;404;0
2455;Malzy;189;0
2456;Manicamp;300;0
2457;Marchais;392;0
2458;Dhuys et Morin-en-Brie;823;0
2459;Marcy;155;0
2460;Marcy-sous-Marle;205;0
2461;Marest-Dampcourt;356;0
2462;Mareuil-en-Dôle;226;0
2463;Marfontaine;84;0
2464;Margival;362;0
2465;Marigny-en-Orxois;528;0
2466;Marizy-Sainte-Geneviève;129;0
2467;Marizy-Saint-Mard;49;0
2468;Marle;2221;3
2469;Marly-Gomont;488;3
2470;Martigny;432;0
2471;Martigny-Courpierre;134;0
2472;Mauregny-en-Haye;399;0
2473;Mayot;220;0
2474;Mennessis;394;0
2476;Mennevret;671;1
2477;Mercin-et-Vaux;954;1
2478;Merlieux-et-Fouquerolles;257;0
2480;Mesbrecourt-Richecourt;318;0
2481;Mesnil-Saint-Laurent;465;0
2482;Meurival;55;0
2483;Mézières-sur-Oise;510;0
2484;Mézy-Moulins;543;0
2485;Missy-aux-Bois;97;0
2486;Missy-lès-Pierrepont;106;0
2487;Missy-sur-Aisne;619;0
2488;Molain;159;0
2489;Molinchart;349;0
2490;Monampteuil;123;0
2491;Monceau-le-Neuf-et-Faucouzy;321;0
2492;Monceau-lès-Leups;439;0
2493;Monceau-le-Waast;221;0
2494;Monceau-sur-Oise;128;0
2495;Mondrepuis;1038;0
2496;Monnes;96;0
2497;Mons-en-Laonnois;1149;1
2498;Montaigu;764;0
2499;Montbavin;41;0
2500;Montbrehain;810;0
2501;Montchâlons;85;0
2502;Montcornet;1257;3
2503;Mont-d'Origny;826;0
2504;Montescourt-Lizerolles;1614;0
2505;Montfaucon;208;0
2506;Montgobert;200;0
2507;Montgru-Saint-Hilaire;30;0
2508;Monthenault;151;0
2509;Monthiers;155;0
2510;Monthurel;142;0
2511;Montigny-en-Arrouaise;310;0
2512;Montigny-l'Allier;268;0
2513;Montigny-le-Franc;135;0
2514;Montigny-Lengrain;695;1
2515;Montigny-lès-Condé;52;0
